report_id,entity_type,entity_value,analytical_relevance
TRN03061,domains,node-3061-sync.example,Extracted from investigation report text
TRN03066,ips,198.51.100.207,Extracted from investigation report text
TRN03066,domains,node-3066-sync.example,Extracted from investigation report text
TRN03068,ips,198.51.100.209,Extracted from investigation report text
TRN03068,domains,node-3068-sync.example,Extracted from investigation report text
TRN03077,ips,198.51.100.218,Extracted from investigation report text
TRN03077,domains,node-3077-sync.example,Extracted from investigation report text
TRN03078,ips,198.51.100.219,Extracted from investigation report text
TRN03078,domains,node-3078-sync.example,Extracted from investigation report text
TRN03084,ips,198.51.100.5,Extracted from investigation report text
TRN03084,domains,node-3084-sync.example,Extracted from investigation report text
TRN03086,ips,198.51.100.7,Extracted from investigation report text
TRN03086,domains,node-3086-sync.example,Extracted from investigation report text
TRN03089,ips,198.51.100.10,Extracted from investigation report text
TRN03089,domains,node-3089-sync.example,Extracted from investigation report text
TRN03092,ips,198.51.100.13,Extracted from investigation report text
TRN03092,domains,node-3092-sync.example,Extracted from investigation report text
TRN03093,ips,198.51.100.14,Extracted from investigation report text
TRN03093,domains,node-3093-sync.example,Extracted from investigation report text
TRN03096,ips,198.51.100.17,Extracted from investigation report text
TRN03096,domains,node-3096-sync.example,Extracted from investigation report text
TRN03106,ips,198.51.100.27,Extracted from investigation report text
TRN03106,domains,node-3106-sync.example,Extracted from investigation report text
TRN03107,ips,198.51.100.28,Extracted from investigation report text
TRN03107,domains,node-3107-sync.example,Extracted from investigation report text
TRN03108,ips,198.51.100.29,Extracted from investigation report text
TRN03108,domains,node-3108-sync.example,Extracted from investigation report text
TRN03109,ips,198.51.100.30,Extracted from investigation report text
TRN03109,domains,node-3109-sync.example,Extracted from investigation report text
TRN03115,ips,198.51.100.36,Extracted from investigation report text
TRN03115,domains,node-3115-sync.example,Extracted from investigation report text
TRN03122,ips,198.51.100.43,Extracted from investigation report text
TRN03122,domains,node-3122-sync.example,Extracted from investigation report text
TRN03133,ips,198.51.100.54,Extracted from investigation report text
TRN03133,domains,node-3133-sync.example,Extracted from investigation report text
TRN03139,ips,198.51.100.60,Extracted from investigation report text
TRN03139,domains,node-3139-sync.example,Extracted from investigation report text
TRN03140,ips,198.51.100.61,Extracted from investigation report text
TRN03140,domains,node-3140-sync.example,Extracted from investigation report text
TRN03142,ips,198.51.100.63,Extracted from investigation report text
TRN03142,domains,node-3142-sync.example,Extracted from investigation report text
TRN03143,ips,198.51.100.64,Extracted from investigation report text
TRN03143,domains,node-3143-sync.example,Extracted from investigation report text
TRN03153,ips,198.51.100.74,Extracted from investigation report text
TRN03153,domains,node-3153-sync.example,Extracted from investigation report text
TRN03154,ips,198.51.100.75,Extracted from investigation report text
TRN03154,domains,node-3154-sync.example,Extracted from investigation report text
TRN03158,ips,198.51.100.79,Extracted from investigation report text
TRN03158,domains,node-3158-sync.example,Extracted from investigation report text
TRN03159,ips,198.51.100.80,Extracted from investigation report text
TRN03159,domains,node-3159-sync.example,Extracted from investigation report text
TRN03160,ips,198.51.100.81,Extracted from investigation report text
TRN03160,domains,node-3160-sync.example,Extracted from investigation report text
TRN03163,ips,198.51.100.84,Extracted from investigation report text
TRN03163,domains,node-3163-sync.example,Extracted from investigation report text
RPT9001,ips,203.0.113.77,Extracted from investigation report text
RPT9001,domains,maintenance-check.example,Extracted from investigation report text
RPT9002,ips,198.51.100.44,Extracted from investigation report text
RPT9002,domains,desert-sync.example,Extracted from investigation report text
RPT9004,hashes,8e50b5f71c8efa22abe51646264f41367451d4acc42134c8c2b787c3190bc393,Extracted from investigation report text
RPT9005,domains,maintenance-check.example,Extracted from investigation report text
